title,year
Abduction,2011
Abraham Lincoln: Vampire Hunter,2012
Ad Astra,2019
The Addams Family,2019
The Adjustment Bureau,2011
Admission,2013
The Age of Adaline,2015
Alice In Wonderland,2010
Alien,1979
Alien: Covenant,2017
Aliens,1986
All the Money In the World,2017
The Amazing Spider-Man 2,2014
American Gangster,2008
American Hustle,2013
American Pie,1999
American Psycho,2000
American Sniper,2014
The Amityville Horror,1979
Anchorman 2: The Legend Continues,2013
Angel Heart,1987
The Angry Birds Movie,2016
Anna,2019
Annabelle,2014
Annabelle Comes Home,2019
Annabelle: Creation,2017
Annihilation,2018
Ant-Man,2015
Antebellum,2020
Apocalypse Now,1979
Apollo 13,1995
Aquaman,2018
Arrival,2016
Arthur,2011
Arthur Christmas,2011
"As Above, So Below",2014
Asteroid City,2023
Atomic Blonde,2017
Austin Powers in Goldmember,2002
Austin Powers: International Man of Mystery,1997
Avatar,2009
The Avengers,2012
Avengers: Age of Ultron,2015
Avengers: Endgame,2019
Baby Driver,2017
Back to Black,2024
Back to the Future,1985
Back to the Future Part II,1989
Back to the Future Part III,1990
A Bad Moms Christmas,2017
Bad Words,2014
Barbie,2023
Basic Instinct,1997
The Batman,2022
Batman,1989
Batman Begins,2005
Batman Returns,1992
Battleship,2012
Baywatch,2017
Beauty and the Beast,2017
Behind Enemy Lines,2001
Beverly Hills Cop,1984
Big Eyes,2014
Big Hero 6,2014
The Big Lebowski,1998
The Big Short,2015
Big Trouble In Little China,1986
The Birdcage,1996
Birdman,2014
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020
Black Mass,2015
The Black Phone,2022
Black Swan,2010
Blackhat,2015
Blair Witch,2016
The Blair Witch Project,1999
Blockers,2018
Blow,2014
Bohemian Rhapsody,2018
Book Club,2018
The Boss,2016
The Bourne Identity,2002
The Bourne Legacy,2012
The Bourne Supremacy,2004
The Bourne Ultimatum,2007
The Boxtrolls,2014
The Boy,2016
The Boy Next Door,2015
Boyhood,2014
Brahms: The Boy II,2020
Braveheart,1995
Breakfast At Tiffany's,1961
The Breakfast Club,1985
Bridesmaids,2011
Bridge of Spies,2015
Brightburn,2019
The Broken Hearts Gallery,2020
Bros,2022
Bullet Train,2022
Bumblebee,2018
By the Light of the Silvery Moon,1953
By the Sea,2015
The Bye Bye Man,2017
The Cabin In the Woods,2012
The Cable Guy,1996
Cadillac Records,2008
Call Me By Your Name,2017
The Call of the Wild,2020
Captain America: Civil War,2016
Captain America: The Winter Soldier,2014
Captain Marvel,2019
Captain Phillips,2013
Captive,2015
Carrie,1976
Carrie,2013
Casablanca,1943
Casino,1995
Cast Away,2000
Chaos Walking,2021
Charlie and the Chocolate Factory,2005
Charlie's Angels,2000
Chef,2014
Child's Play,1999
The Choice,2016
Christine,1983
A Christmas Carol,2009
A Christmas Story,1983
Christmas With the Kranks,2004
The Cider House Rules,1999
Cinderella,2015
Clear and Present Danger,1994
Clerks,1994
Close Encounters of the Third Kind,1977
Clue,1985
Clueless,1995
Coco,2017
Colossal,2017
The Conjuring,2013
The Conjuring: The Devil Made Me Do It,2021
Constantine,2005
Contagion,2011
Contraband,2012
Cool Hand Luke,1967
The Count of Monte Cristo,2002
The Count of Monte Cristo,2024
Countdown,2019
The Courier,2021
Cowboys & Aliens,2011
Crash,2005
Crawl,2019
Criminal,2016
Crimson Peak,2015
"Crouching Tiger, Hidden Dragon",2000
Crypto,2019
Cujo,1983
A Cure for Wellness,2017
The Curious Case of Benjamin Button,2008
The Da Vinci Code,2006
Daddy's Home,2015
Daddy's Home 2,2017
Dallas Buyers Club,2013
The Danish Girl,2015
The Dark Knight,2008
The Dark Knight Rises,2012
Dark Web: Cicada 3301,2021
Darkest Hour,2017
The Darkness,2016
A Date With Judy,1948
Dawn of the Planet of the Apes,2014
The Day After Tomorrow,2004
The Dead Zone,1983
Deadpool,2016
Deadpool & Wolverine,2024
Death Becomes Her,1992
Death on the Nile,2022
Death Race 2,2010
Deep Impact,1998
Deepwater Horizon,2016
Deliver Us from Evil,2014
The Descent,2006
Despicable Me 2,2013
The Devil Wears Prada,2006
Die Hard,1988
Die Hard 2: Die Harder,1990
Die Hard: With a Vengeance,1995
Dirty Dancing,1987
Dirty Girl,2014
Dirty Grandpa,2016
Dirty Harry,1971
Divergent,2014
The Divergent Series: Allegiant,2016
The Divergent Series: Insurgent,2015
Django Unchained,2012
Doctor Sleep,2019
Doctor Strange,2016
Dolittle,2020
Don Jon,2013
Downsizing,2017
Dr. Seuss' Horton Hears a Who!,2008
Dr. Seuss' How the Grinch Stole Christmas,2000
Dr. Seuss' the Lorax,2012
Dracula Untold,2014
Dredd,2012
Drinking Buddies,2013
Drugstore Cowboy,1999
Due Date,2010
The DUFF,2015
Dumb and Dumber To,2014
Dumb Money,2023
Dune,2021
Dungeons & Dragons Honor Among Thieves,2023
E.T. The Extra-Terrestrial,1982
Earth Girls Are Easy,1989
Earth: One Amazing Day,2017
Easy A,2010
Edward Scissorhands,1990
Elemental,2023
Elf,2003
ELLIS,2015
Elvis,2022
Ender's Game,2013
The Endless,2018
Endless Love,1981
Endless Love,2014
