title,year,imdb_id,tmdb_id,runtime_min,plot,poster_url,backdrop_url,genres,moods,keywords,imdb_rating,imdb_votes,rt_score,where_to_watch,languages,countries,collection,tmdb_last_scraped
10 Cloverfield Lane,2016,tt1179933,333371,104,"After a catastrophic car crash, a young woman wakes up in a survivalist's underground bunker, where he claims to have saved her from an apocalyptic attack that has left the outside world uninhabitable.",https://image.tmdb.org/t/p/w500/84Dhwz93vCin6T1PX6ctSvWEuNE.jpg,https://image.tmdb.org/t/p/w780/veGaHYcRHFPEoKfqxKbCEXI8tOT.jpg,Thriller; Science Fiction; Drama; Horror; Sci-Fi,,kidnapping; paranoia; bunker; basement; survivalist; apocalypse; car accident; captive,,,,Amazon Prime Video; fuboTV; MGM+ Amazon Channel; MGM Plus Roku Premium Channel; Philo; Amazon Video (rent); Apple TV (rent); Google Play Movies (rent); YouTube (rent); Fandango At Home (rent); Amazon Video (buy); Apple TV (buy); Google Play Movies (buy); YouTube (buy); Fandango At Home (buy),English,United States of America,,2025-09-25T17:29:16
12 Angry Men,1957,tt0050083,389,97,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,https://image.tmdb.org/t/p/w780/bxgTSUenZDHNFerQ1whRKplrMKF.jpg,Drama; Crime,,death penalty; anonymity; court case; court; judge; jurors; father murder; class; heat; innocence; puerto rico; based on play or musical; black and white; courtroom; courtroom drama; dialog driven; persidangan; sidang,,,,fuboTV; MGM+ Amazon Channel; MGM Plus Roku Premium Channel; MGM Plus; Philo; The Roku Channel; Tubi TV; Kanopy; Hoopla; Amazon Video (rent); Apple TV (rent); Google Play Movies (rent); YouTube (rent); Fandango At Home (rent); Spectrum On Demand (rent); Amazon Video (buy); Apple TV (buy); Google Play Movies (buy); YouTube (buy); Fandango At Home (buy),English,United States of America,,2025-09-25T17:29:16
13 Hours: The Secret Soldiers of Benghazi,2016,tt4172430,300671,144,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,https://image.tmdb.org/t/p/w500/AskDcQ6Sa6jImyt2KDQbgRuPebH.jpg,https://image.tmdb.org/t/p/w780/ayDMYGUNVvXS76wQgFwTiUIDNb5.jpg,War; Action; History; Drama; Thriller; Action | Drama | History | Thriller | War,,central intelligence agency (cia); based on novel or book; libya; assault rifle; grave; mercenary; melancholy; heroism; biography; based on true story; explosion; biting; american abroad; death; blunt; mourning; questioning; angry; aggressive; frantic; grim; reflective; u.s. ambassador; complex; anxious; cautionary; provocative; factual; critical; incredulous; tense; intense; bitter; appreciative; baffled; bewildered; bold; commanding; defiant; dignified; disapproving; disdainful; disheartening; enraged; foreboding; frustrated; harsh; informative; scathing; sincere; sympathetic; tragic; wry,,,,Amazon Prime Video; fuboTV; MGM+ Amazon Channel; MGM Plus Roku Premium Channel; Philo; Amazon Prime Video with Ads; Amazon Video (rent); Apple TV (rent); Google Play Movies (rent); YouTube (rent); Fandango At Home (rent); Plex (rent); Amazon Video (buy); Apple TV (buy); Google Play Movies (buy); YouTube (buy); Fandango At Home (buy),Arabic; English,United States of America; Malta,,2025-09-25T17:29:17
1917,2019,tt8579674,530915,119,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",https://image.tmdb.org/t/p/w500/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,https://image.tmdb.org/t/p/w780/2lBOQK06tltt8SQaswgb8d657Mv.jpg,War; History; Thriller; Drama | History | Thriller | War,,race against time; world war i; british army; soldier; real time; trenches; 1910s; trench warfare; no man's land,,,,Netflix; Netflix Standard with Ads; Amazon Video (rent); Apple TV (rent); Google Play Movies (rent); YouTube (rent); Fandango At Home (rent); Spectrum On Demand (rent); Amazon Video (buy); Apple TV (buy); Google Play Movies (buy); YouTube (buy); Fandango At Home (buy),English; French; German,India; Spain; United Kingdom; United States of America,,2025-09-25T17:29:17
2001: A Space Odyssey,1968,tt0062622,62,149,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",https://image.tmdb.org/t/p/w500/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,https://image.tmdb.org/t/p/w780/w5IDXtifKntw0ajv2co7jFlTQDM.jpg,Science Fiction; Mystery; Adventure; Adventure | Mystery | Science Fiction,,man vs machine; moon; jupiter; artificial intelligence (a.i.); based on novel or book; technology; super computer; space travel; space mission; moon base; astronaut; evolution; monolith; space station; space opera; complex; 2000s; dreary; ai rebellion; tense; audacious; baffled; excited,,,,HBO Max; HBO Max Amazon Channel; Cinemax Amazon Channel; TCM; Cinemax Apple TV Channel; Amazon Video (rent); Apple TV (rent); Google Play Movies (rent); YouTube (rent); Fandango At Home (rent); Spectrum On Demand (rent); Amazon Video (buy); Apple TV (buy); Google Play Movies (buy); YouTube (buy); Fandango At Home (buy),English; Russian,United Kingdom; United States of America,The Space Odyssey Series,2025-09-25T17:29:17
21 & Over,2013,tt1711425,107811,93,"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",https://image.tmdb.org/t/p/w500/ruPRsaWpSbHv2085k1bO2HbSAUV.jpg,https://image.tmdb.org/t/p/w780/bGePh6CyZIzrueokpvyijWeBZ4X.jpg,Comedy,,alcohol; birthday; friends; debauchery,,,,Amazon Prime Video; Amazon Prime Video with Ads; Plex; Plex Channel; Amazon Video (rent); Apple TV (rent); Google Play Movies (rent); YouTube (rent); Fandango At Home (rent); Amazon Video (buy); Apple TV (buy); Google Play Movies (buy); YouTube (buy); Fandango At Home (buy),English,United States of America,,2025-09-25T17:29:18
21 Bridges,2019,tt8688634,535292,99,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",https://image.tmdb.org/t/p/w500/kDlmrGZROewneCoSwPjKx6Qfown.jpg,https://image.tmdb.org/t/p/w780/y2M6OULGs8EO7G6mNgMEUBR3FJl.jpg,Crime; Action; Drama; Action | Crime | Drama,,new york city; hostage; subway; detective; shootout; police officer killed; nypd; one night; neo-noir; manhunt; intense; awestruck; vibrant,,,,YouTube TV; TNT; TBS; tru TV; Amazon Video (rent); Apple TV (rent); Google Play Movies (rent); YouTube (rent); Fandango At Home (rent); Spectrum On Demand (rent); Amazon Video (buy); Apple TV (buy); Google Play Movies (buy); YouTube (buy); Fandango At Home (buy),English,United States of America; China,,2025-09-25T17:29:18
21 Grams,2003,tt0315733,470,124,"Paul Rivers, an ailing mathematician lovelessly married to an English émigré; Christina Peck, an upper-middle-class suburban housewife and mother of two girls; and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives.",https://image.tmdb.org/t/p/w500/wZ0l6or5juuVWqDkLEgaghs4f9l.jpg,https://image.tmdb.org/t/p/w780/5SgrtPH6kBmmHao0PofxpvOYfWC.jpg,Drama; Crime; Thriller; Crime | Drama | Thriller,,life and death; rage and hate; transplantation; faith; suicide attempt; loss of loved one; widow; ex-detainee; new mexico; sadness; car crash; multiple storylines,,,,Amazon Video (rent); Apple TV (rent); Google Play Movies (rent); YouTube (rent); Fandango At Home (rent); Amazon Video (buy); Apple TV (buy); Google Play Movies (buy); YouTube (buy); Fandango At Home (buy),English,United States of America,,2025-09-25T17:29:18
21 Jump Street,2012,tt1232829,64688,109,"When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go undercover as high school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.",https://image.tmdb.org/t/p/w500/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,https://image.tmdb.org/t/p/w780/lxCUDgZ54myV7goBrkpFoHRt9Ms.jpg,Action; Comedy; Crime; Action | Comedy | Crime,,drug dealer; high school; investigation; nerd; male friendship; parody; jock; crude humor; undercover cop; high school student; police academy; buddy cop; buddy comedy; duringcreditsstinger; high school rivalry; bicycle cop; based on tv series; cops; party drugs; high school classmates,,,,Peacock Premium; YouTube TV; TNT; TBS; tru TV; Peacock Premium Plus; Amazon Video (rent); Apple TV (rent); Google Play Movies (rent); YouTube (rent); Fandango At Home (rent); Spectrum On Demand (rent); Amazon Video (buy); Apple TV (buy); Google Play Movies (buy); YouTube (buy); Fandango At Home (buy),English,United States of America,Jump Street Collection,2025-09-25T17:29:19
22 Jump Street,2014,tt2294449,187017,112,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",https://image.tmdb.org/t/p/w500/850chzYHYbT3IISl6Q7dbBuFP2B.jpg,https://image.tmdb.org/t/p/w780/5fiqJTC391BU5qv90Tj9Xd1TyEt.jpg,Crime; Comedy; Action; Action | Comedy | Crime,,drug dealer; sarcasm; college; male friendship; sequel; undercover cop; buddy cop; buddy comedy; aftercreditsstinger; duringcreditsstinger; based on tv series,,,,Peacock Premium; YouTube TV; TNT; TBS; tru TV; Peacock Premium Plus; Amazon Video (rent); Apple TV (rent); Google Play Movies (rent); YouTube (rent); Fandango At Home (rent); Spectrum On Demand (rent); Amazon Video (buy); Apple TV (buy); Google Play Movies (buy); YouTube (buy); Fandango At Home (buy),English,United States of America,Jump Street Collection,2025-09-25T17:29:19
300,2007,tt0416449,1271,116,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",https://image.tmdb.org/t/p/w500/h7Lcio0c9ohxPhSZg42eTlKIVVY.jpg,https://image.tmdb.org/t/p/w780/lgBZlJ1LHQel5nneNQMoesmvc7l.jpg,Action; Adventure; War; Action | Adventure | War,,epic; army; narration; gore; based on true story; based on comic; sword fight; massacre; ancient world; based on graphic novel; ancient greece; warrior; ancient warfare; sparta greece; 5th century bc; war; bloody death; sparta; spartans; battle of thermopylae; god king; battle axe; amused; audacious,,,,Amazon Video (rent); Apple TV (rent); Google Play Movies (rent); YouTube (rent); Fandango At Home (rent); Spectrum On Demand (rent); Plex (rent); Amazon Video (buy); Apple TV (buy); Google Play Movies (buy); YouTube (buy); Fandango At Home (buy),English,United States of America,300 Collection,2025-09-25T17:29:19
300: Rise of an Empire,2014,tt1253863,53182,102,"Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",https://image.tmdb.org/t/p/w500/wYDdWN1McB1Sio4z1dPSkb40Z78.jpg,https://image.tmdb.org/t/p/w780/chjkfyo57JexWo1YeIZRMk8wA4m.jpg,Action; Drama; War; Action | Drama | War,,based on comic; sword fight; soldier; massacre; slow motion; based on graphic novel; ancient greece; duringcreditsstinger; sea battle; hand to hand combat; naval warfare; ancient warfare; sparta greece; warriors; 5th century bc; athenian; sword and sandal; god king; sword and shield,,,,Amazon Video (rent); Apple TV (rent); Google Play Movies (rent); YouTube (rent); Fandango At Home (rent); Spectrum On Demand (rent); Amazon Video (buy); Apple TV (buy); Google Play Movies (buy); YouTube (buy); Fandango At Home (buy),English,Bulgaria; United States of America,300 Collection,2025-09-25T17:29:20
3:10 to Yuma,1957,tt0050086,14168,92,"Dan Evans, a small time farmer, is hired to escort Ben Wade, a dangerous outlaw, to Yuma. As Evans and Wade wait for the 3:10 train to Yuma, Wade's gang is racing to free him.",https://image.tmdb.org/t/p/w500/emYeJVZrpl2WfndJlhbls1e7lzQ.jpg,https://image.tmdb.org/t/p/w780/7B26BW9ec2atiGwCkJJZ5POR4wC.jpg,Western; Drama; Thriller; Drama | Thriller | Western,,hotel; small town; arizona; hunger; ranch; outlaw; shootout; black and white; train; bandit; stagecoach; based on short story; drought; 19th century,,,,Amazon Video (rent); Apple TV (rent); Google Play Movies (rent); YouTube (rent); Fandango At Home (rent); Amazon Video (buy); Apple TV (buy); Google Play Movies (buy); YouTube (buy); Fandango At Home (buy),English,United States of America,,2025-09-25T17:29:20
